--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
cropped_images/crop_meme_0_pt_0.jpg	Parking:                 	0.9993
cropped_images/crop_meme_0_pt_1.jpg	You                      	1.0000
cropped_images/crop_meme_0_pt_2.jpg	may                      	1.0000
cropped_images/crop_meme_0_pt_3.jpg	park                     	1.0000
cropped_images/crop_meme_0_pt_4.jpg	anywhere                 	0.9999
cropped_images/crop_meme_0_pt_5.jpg	on                       	0.9996
cropped_images/crop_meme_0_pt_6.jpg	the                      	1.0000
cropped_images/crop_meme_0_pt_7.jpg	campus                   	0.9998
cropped_images/crop_meme_0_pt_8.jpg	where                    	1.0000
cropped_images/crop_meme_0_pt_9.jpg	there                    	1.0000
cropped_images/crop_meme_0_pt_10.jpg	are                      	1.0000
cropped_images/crop_meme_0_pt_11.jpg	no                       	0.9998
cropped_images/crop_meme_0_pt_12.jpg	signs                    	0.9997
cropped_images/crop_meme_0_pt_13.jpg	prohibiting              	0.9997
cropped_images/crop_meme_0_pt_14.jpg	par-                     	0.9698
cropped_images/crop_meme_0_pt_15.jpg	king.                    	0.6282
cropped_images/crop_meme_0_pt_16.jpg	Keep                     	1.0000
cropped_images/crop_meme_0_pt_17.jpg	in                       	0.9998
cropped_images/crop_meme_0_pt_18.jpg	mind                     	1.0000
cropped_images/crop_meme_0_pt_19.jpg	the                      	1.0000
cropped_images/crop_meme_0_pt_20.jpg	carpool                  	0.9997
cropped_images/crop_meme_0_pt_21.jpg	hours                    	0.9999
cropped_images/crop_meme_0_pt_22.jpg	and                      	1.0000
cropped_images/crop_meme_0_pt_23.jpg	park                     	1.0000
cropped_images/crop_meme_0_pt_24.jpg	accordingly              	0.9999
cropped_images/crop_meme_0_pt_25.jpg	so                       	0.9956
cropped_images/crop_meme_0_pt_26.jpg	you                      	1.0000
cropped_images/crop_meme_0_pt_27.jpg	do                       	1.0000
cropped_images/crop_meme_0_pt_28.jpg	not                      	1.0000
cropped_images/crop_meme_0_pt_29.jpg	get                      	1.0000
cropped_images/crop_meme_0_pt_30.jpg	blocked                  	0.9998
cropped_images/crop_meme_0_pt_31.jpg	in                       	0.9998
cropped_images/crop_meme_0_pt_32.jpg	the                      	1.0000
cropped_images/crop_meme_0_pt_33.jpg	afternoon                	0.9993
cropped_images/crop_meme_0_pt_34.jpg	inappropriate            	0.9995
cropped_images/crop_meme_0_pt_35.jpg	that                     	1.0000
cropped_images/crop_meme_0_pt_36.jpg	Under                    	0.9999
cropped_images/crop_meme_0_pt_37.jpg	you                      	1.0000
cropped_images/crop_meme_0_pt_38.jpg	they                     	1.0000
cropped_images/crop_meme_0_pt_39.jpg	adhere                   	0.9999
cropped_images/crop_meme_0_pt_40.jpg	School                   	0.9998
cropped_images/crop_meme_0_pt_41.jpg	may                      	1.0000
cropped_images/crop_meme_0_pt_42.jpg	to                       	1.0000
cropped_images/crop_meme_0_pt_43.jpg	to                       	1.0000
cropped_images/crop_meme_0_pt_44.jpg	our                      	0.9998
cropped_images/crop_meme_0_pt_45.jpg	be                       	1.0000
cropped_images/crop_meme_0_pt_46.jpg	Age                      	0.9999
cropped_images/crop_meme_0_pt_47.jpg	have                     	1.0000
cropped_images/crop_meme_0_pt_48.jpg	invited                  	0.9995
cropped_images/crop_meme_0_pt_49.jpg	Children.                	0.9461
cropped_images/crop_meme_0_pt_50.jpg	policy                   	0.9999
cropped_images/crop_meme_0_pt_51.jpg	them                     	1.0000
cropped_images/crop_meme_0_pt_52.jpg	or                       	0.9996
cropped_images/crop_meme_0_pt_53.jpg	for                      	1.0000
cropped_images/crop_meme_0_pt_54.jpg	can                      	0.9998
cropped_images/crop_meme_0_pt_55.jpg	on                       	0.9997
cropped_images/crop_meme_0_pt_56.jpg	While                    	0.9999
cropped_images/crop_meme_0_pt_57.jpg	the                      	1.0000
