--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
cropped_images/crop_meme_0_pt_0.jpg	Parking:                 	0.9996
cropped_images/crop_meme_0_pt_1.jpg	You                      	0.9999
cropped_images/crop_meme_0_pt_2.jpg	may                      	1.0000
cropped_images/crop_meme_0_pt_3.jpg	park                     	1.0000
cropped_images/crop_meme_0_pt_4.jpg	anywhere                 	0.9999
cropped_images/crop_meme_0_pt_5.jpg	on                       	0.9998
cropped_images/crop_meme_0_pt_6.jpg	the                      	1.0000
cropped_images/crop_meme_0_pt_7.jpg	campus                   	0.9998
cropped_images/crop_meme_0_pt_8.jpg	where                    	1.0000
cropped_images/crop_meme_0_pt_9.jpg	there                    	1.0000
cropped_images/crop_meme_0_pt_10.jpg	are                      	1.0000
cropped_images/crop_meme_0_pt_11.jpg	no                       	0.9999
cropped_images/crop_meme_0_pt_12.jpg	signs                    	0.9996
cropped_images/crop_meme_0_pt_13.jpg	prohibiting              	0.9997
cropped_images/crop_meme_0_pt_14.jpg	par-                     	0.9042
cropped_images/crop_meme_0_pt_15.jpg	king.                    	0.9918
cropped_images/crop_meme_0_pt_16.jpg	Keep                     	1.0000
cropped_images/crop_meme_0_pt_17.jpg	in                       	0.9999
cropped_images/crop_meme_0_pt_18.jpg	mind                     	1.0000
cropped_images/crop_meme_0_pt_19.jpg	the                      	1.0000
cropped_images/crop_meme_0_pt_20.jpg	carpool                  	0.9988
cropped_images/crop_meme_0_pt_21.jpg	hours                    	1.0000
cropped_images/crop_meme_0_pt_22.jpg	and                      	1.0000
cropped_images/crop_meme_0_pt_23.jpg	park                     	1.0000
cropped_images/crop_meme_0_pt_24.jpg	accordingly              	0.9999
cropped_images/crop_meme_0_pt_25.jpg	so                       	0.9981
cropped_images/crop_meme_0_pt_26.jpg	you                      	1.0000
cropped_images/crop_meme_0_pt_27.jpg	do                       	1.0000
cropped_images/crop_meme_0_pt_28.jpg	not                      	1.0000
cropped_images/crop_meme_0_pt_29.jpg	get                      	1.0000
cropped_images/crop_meme_0_pt_30.jpg	blocked                  	0.9997
cropped_images/crop_meme_0_pt_31.jpg	in                       	0.9998
cropped_images/crop_meme_0_pt_32.jpg	the                      	1.0000
cropped_images/crop_meme_0_pt_33.jpg	afternoon                	0.9993
cropped_images/crop_meme_0_pt_34.jpg	Under                    	0.9997
cropped_images/crop_meme_0_pt_35.jpg	School                   	0.9996
cropped_images/crop_meme_0_pt_36.jpg	Age                      	0.9999
cropped_images/crop_meme_0_pt_37.jpg	Children:                	0.9985
cropped_images/crop_meme_0_pt_38.jpg	While                    	0.9997
cropped_images/crop_meme_0_pt_39.jpg	we                       	0.9999
cropped_images/crop_meme_0_pt_40.jpg	love                     	0.9998
cropped_images/crop_meme_0_pt_41.jpg	the                      	1.0000
cropped_images/crop_meme_0_pt_42.jpg	younger                  	0.9999
cropped_images/crop_meme_0_pt_43.jpg	children,                	0.9993
cropped_images/crop_meme_0_pt_44.jpg	it                       	0.9999
cropped_images/crop_meme_0_pt_45.jpg	can                      	0.9997
cropped_images/crop_meme_0_pt_46.jpg	be                       	1.0000
cropped_images/crop_meme_0_pt_47.jpg	disruptive               	0.9996
cropped_images/crop_meme_0_pt_48.jpg	and                      	1.0000
cropped_images/crop_meme_0_pt_49.jpg	inappropriate            	0.9997
cropped_images/crop_meme_0_pt_50.jpg	to                       	1.0000
cropped_images/crop_meme_0_pt_51.jpg	have                     	1.0000
cropped_images/crop_meme_0_pt_52.jpg	them                     	1.0000
cropped_images/crop_meme_0_pt_53.jpg	on                       	0.9997
cropped_images/crop_meme_0_pt_54.jpg	campus                   	0.9998
cropped_images/crop_meme_0_pt_55.jpg	during                   	1.0000
cropped_images/crop_meme_0_pt_56.jpg	school                   	0.9994
cropped_images/crop_meme_0_pt_57.jpg	hours                    	0.9998
cropped_images/crop_meme_0_pt_58.jpg	There                    	1.0000
cropped_images/crop_meme_0_pt_59.jpg	may                      	1.0000
cropped_images/crop_meme_0_pt_60.jpg	be                       	1.0000
cropped_images/crop_meme_0_pt_61.jpg	special                  	0.9997
cropped_images/crop_meme_0_pt_62.jpg	times                    	1.0000
cropped_images/crop_meme_0_pt_63.jpg	that                     	1.0000
cropped_images/crop_meme_0_pt_64.jpg	they                     	1.0000
cropped_images/crop_meme_0_pt_65.jpg	may                      	1.0000
cropped_images/crop_meme_0_pt_66.jpg	be                       	1.0000
cropped_images/crop_meme_0_pt_67.jpg	invited                  	0.9999
cropped_images/crop_meme_0_pt_68.jpg	or                       	0.9997
cropped_images/crop_meme_0_pt_69.jpg	can                      	0.9989
cropped_images/crop_meme_0_pt_70.jpg	accompany                	0.9997
cropped_images/crop_meme_0_pt_71.jpg	a                        	1.0000
cropped_images/crop_meme_0_pt_72.jpg	parent                   	1.0000
cropped_images/crop_meme_0_pt_73.jpg	volunteer,               	0.9450
cropped_images/crop_meme_0_pt_74.jpg	but                      	0.9999
cropped_images/crop_meme_0_pt_75.jpg	otherwise                	0.9998
cropped_images/crop_meme_0_pt_76.jpg	we                       	0.9999
cropped_images/crop_meme_0_pt_77.jpg	ask                      	1.0000
cropped_images/crop_meme_0_pt_78.jpg	that                     	1.0000
cropped_images/crop_meme_0_pt_79.jpg	you                      	1.0000
cropped_images/crop_meme_0_pt_80.jpg	adhere                   	1.0000
cropped_images/crop_meme_0_pt_81.jpg	to                       	1.0000
cropped_images/crop_meme_0_pt_82.jpg	our                      	0.9998
cropped_images/crop_meme_0_pt_83.jpg	policy                   	0.9999
cropped_images/crop_meme_0_pt_84.jpg	for                      	1.0000
cropped_images/crop_meme_0_pt_85.jpg	the                      	1.0000
cropped_images/crop_meme_0_pt_86.jpg	benefit                  	0.9977
cropped_images/crop_meme_0_pt_87.jpg	of                       	1.0000
cropped_images/crop_meme_0_pt_88.jpg	the                      	1.0000
cropped_images/crop_meme_0_pt_89.jpg	students                 	0.9996
cropped_images/crop_meme_0_pt_90.jpg	and                      	1.0000
cropped_images/crop_meme_0_pt_91.jpg	staff.                   	0.6112
